created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jun 24 03:28:47 +0000 2022;1540175074862710784;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 24 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/gP4EnTU6gC";0;0;0;0;in;79130206;1540175074862710784;jpnncom;https://twitter.com/jpnncom/status/1540175074862710784
Fri Jun 24 01:30:47 +0000 2022;1540145379538345986;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 24 Juni 2022 https://t.co/rzpkQoPcF9";0;0;0;0;in;1442122733886664704;1540145379538345986;Zyanpatra;https://twitter.com/Zyanpatra/status/1540145379538345986
Thu Jun 23 08:32:00 +0000 2022;1539888995580387329;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 23 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/kTbfI4TFVE";0;0;0;0;in;79130206;1539888995580387329;jpnncom;https://twitter.com/jpnncom/status/1539888995580387329
Thu Jun 23 00:35:30 +0000 2022;1539769077094309888;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 23 Juni 2022 https://t.co/2qcnqI0YSC";0;0;0;0;in;1442122733886664704;1539769077094309888;Zyanpatra;https://twitter.com/Zyanpatra/status/1539769077094309888
Wed Jun 22 03:49:22 +0000 2022;1539455478484598784;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 22 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya  https://t.co/ms92Ze97Pq";0;0;0;0;in;79130206;1539455478484598784;jpnncom;https://twitter.com/jpnncom/status/1539455478484598784
Wed Jun 22 01:46:14 +0000 2022;1539424491209519104;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 22 Juni 2022 https://t.co/dm5auzw6q9";0;0;0;0;in;1442122733886664704;1539424491209519104;Zyanpatra;https://twitter.com/Zyanpatra/status/1539424491209519104
Tue Jun 21 08:15:03 +0000 2022;1539159950336794626;"CEGAH PENINGKATAN KASUS COVID 19, KORPS MARINIR SURABAYA GELAR VAKSINASI DI SIDOARJO https://t.co/3QvrXeXpsR";0;0;0;0;in;21287066;1539159950336794626;beritajatimcom;https://twitter.com/beritajatimcom/status/1539159950336794626
Tue Jun 21 03:06:26 +0000 2022;1539082287354359808;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 21 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya  https://t.co/AVeBjFvirk";0;0;0;0;in;79130206;1539082287354359808;jpnncom;https://twitter.com/jpnncom/status/1539082287354359808
Tue Jun 21 01:26:00 +0000 2022;1539057010968240129;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 21 Juni 2022 https://t.co/KMtxXGoT54";0;0;0;0;in;1442122733886664704;1539057010968240129;Zyanpatra;https://twitter.com/Zyanpatra/status/1539057010968240129
Mon Jun 20 13:23:58 +0000 2022;1538875306937053185;"Kasus Aktif Covid Naik, Pemkot Surabaya Geber Vaksinasi Booster https://t.co/OsBU5ch0AQ";0;0;0;1;in;2392460208;1538875306937053185;jawapos;https://twitter.com/jawapos/status/1538875306937053185
Mon Jun 20 03:28:26 +0000 2022;1538725433948385280;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 20 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/Wt1e1W7rjJ";0;0;0;0;in;79130206;1538725433948385280;jpnncom;https://twitter.com/jpnncom/status/1538725433948385280
Sun Jun 19 07:29:13 +0000 2022;1538423643256287235;"#BeritaJatim  Jadwal dan Lokasi Pemberian Vaksin Covid-19 Surabaya Hari Ini 19 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya  https://t.co/2bbsrSH5cm";0;0;0;0;in;79130206;1538423643256287235;jpnncom;https://twitter.com/jpnncom/status/1538423643256287235
Sun Jun 19 01:10:35 +0000 2022;1538328356156059651;"Jadwal dan Lokasi Pemberian Vaksin Covid-19 Surabaya Hari Ini 19 Juni 2022 https://t.co/7XszFBWiCg";0;0;0;0;in;1442122733886664704;1538328356156059651;Zyanpatra;https://twitter.com/Zyanpatra/status/1538328356156059651
Sat Jun 18 01:59:40 +0000 2022;1537978319849005056;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 18 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/EEEs6GNDad";0;0;0;0;in;79130206;1537978319849005056;jpnncom;https://twitter.com/jpnncom/status/1537978319849005056
Fri Jun 17 03:15:27 +0000 2022;1537635002758070272;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 17 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/3PGhkjqcqX";0;0;0;0;in;79130206;1537635002758070272;jpnncom;https://twitter.com/jpnncom/status/1537635002758070272
Thu Jun 16 03:21:13 +0000 2022;1537274069493882880;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 16 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/no12VoogLt";0;0;0;0;in;79130206;1537274069493882880;jpnncom;https://twitter.com/jpnncom/status/1537274069493882880
Wed Jun 15 07:31:15 +0000 2022;1536974603255705600;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 15 Juni 2022 #infovaksin #jadwalvaksinasi #vaksinasiboostersurabaya   https://t.co/m5UDT7DFEH";0;0;0;0;in;79130206;1536974603255705600;jpnncom;https://twitter.com/jpnncom/status/1536974603255705600
Tue Jun 14 12:24:20 +0000 2022;1536685970661298177;"Kenaikan kasus Covid-19 kembali membayangi Surabaya, Jawa Timur, sehingga penanganan dan pengendalian terpadu dengan disiplin protokol kesehatan, kinerja penanganan, dan vaksinasi jangan mengendur. #Nusantara #AdadiKompas https://t.co/147sd2roYW";0;0;0;0;in;255866913;1536685970661298177;hariankompas;https://twitter.com/hariankompas/status/1536685970661298177
Tue Jun 14 10:39:49 +0000 2022;1536659670303404032;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 14 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya https://t.co/Zqldc1xwEc";0;0;0;0;in;79130206;1536659670303404032;jpnncom;https://twitter.com/jpnncom/status/1536659670303404032
Mon Jun 13 07:11:27 +0000 2022;1536244845244993536;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 13 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya  https://t.co/U4JT1pypkx";0;0;0;0;in;79130206;1536244845244993536;jpnncom;https://twitter.com/jpnncom/status/1536244845244993536
Sat Jun 11 04:39:00 +0000 2022;1535481702830600195;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 11 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya https://t.co/l41XbuA9ds";0;0;0;0;in;79130206;1535481702830600195;jpnncom;https://twitter.com/jpnncom/status/1535481702830600195
Fri Jun 10 07:44:54 +0000 2022;1535166097468669952;"#Angka Pasien Covid-19 di Surabaya Mulai Terlihat, Vaksin Booster Digencarkan Jelang HUT Bhayangkara - https://t.co/F3pZ81j3vB #Covid #Covid19 https://t.co/9Bac4hcEBn";0;0;0;0;in;3231776798;1535166097468669952;beritacovid;https://twitter.com/beritacovid/status/1535166097468669952
Fri Jun 10 02:14:24 +0000 2022;1535082927050354688;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 10 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya https://t.co/jT70ZGEMm5";0;0;0;0;in;79130206;1535082927050354688;jpnncom;https://twitter.com/jpnncom/status/1535082927050354688
Wed Jun 08 03:06:46 +0000 2022;1534371328748560386;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 8 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya  https://t.co/Z8DRJUDL7Y";0;0;0;0;in;79130206;1534371328748560386;jpnncom;https://twitter.com/jpnncom/status/1534371328748560386
Tue Jun 07 07:42:39 +0000 2022;1534078367326441473;"#BeritaJatim Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 7 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/drxOldMheH";0;0;0;0;in;79130206;1534078367326441473;jpnncom;https://twitter.com/jpnncom/status/1534078367326441473
Mon Jun 06 03:23:07 +0000 2022;1533650665998024704;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 6 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya  https://t.co/73LOqb1PMG";0;0;0;0;in;79130206;1533650665998024704;jpnncom;https://twitter.com/jpnncom/status/1533650665998024704
Sat Jun 04 04:21:00 +0000 2022;1532940459555061761;"#BeritaJatim  Jadwal dan Lokasi Pemberian Vaksin Covid-19 Surabaya Hari Ini 4 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya  https://t.co/YWtmn7uHBP";0;0;0;0;in;79130206;1532940459555061761;jpnncom;https://twitter.com/jpnncom/status/1532940459555061761
